year,region,comp,compcode,place,group,university,score,award,gender
2007,new england,Semifinal,1,1,Zumbyes,AMHERST COLLEGE,388,1,male
2007,new england,Quarterfinal,1,1,Zumbyes,AMHERST COLLEGE,422,1,male
2007,final,Final,1,3,Zumbyes,AMHERST COLLEGE,335,0,male
2018,south,Quarterfinal,4,2,Enharmonix,APPALACHIAN STATE UNIVERSITY,337,1,coed
2017,south,Quarterfinal,1,2,Enharmonix,APPALACHIAN STATE UNIVERSITY,319,0,coed
2009,south,Quarterfinal,1,2,Another Level,APPALACHIAN STATE UNIVERSITY,356,1,male
2019,southwest,Quarterfinal,1,3,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,335,0,coed
2018,southwest,Quarterfinal,3,1,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,374,1,coed
2015,west,Quarterfinal,5,3,Priority Male,ARIZONA STATE UNIVERSITY-TEMPE,363,0,male
2014,west,Quarterfinal,5,3,TEMPEtations,ARIZONA STATE UNIVERSITY-TEMPE,335,1,coed
2013,west,Quarterfinal,2,1,Priority Male,ARIZONA STATE UNIVERSITY-TEMPE,385,2,male
2013,west,Quarterfinal,2,2,Pitchforks,ARIZONA STATE UNIVERSITY-TEMPE,354,1,female
2012,west,Quarterfinal,4,3,Pitchforks,ARIZONA STATE UNIVERSITY-TEMPE,280,0,female
2019,midwest,Quarterfinal,3,3,Unexpected Resolution,BALL STATE UNIVERSITY,298,1,male
2019,midwest,Semifinal,1,1,Sedoctave,BALL STATE UNIVERSITY,378,0,coed
2019,midwest,Quarterfinal,3,1,Sedoctave,BALL STATE UNIVERSITY,379,2,coed
2018,midwest,Quarterfinal,2,2,Unexpected Resolution,BALL STATE UNIVERSITY,333,0,male
2018,midwest,Quarterfinal,2,1,Sedoctave,BALL STATE UNIVERSITY,427,1,coed
2018,midwest,Quarterfinal,2,3,Note to Self,BALL STATE UNIVERSITY,317,0,male
2017,midwest,Quarterfinal,2,1,Sedoctave,BALL STATE UNIVERSITY,387,1,coed
2017,midwest,Quarterfinal,2,2,Ladies' Choice,BALL STATE UNIVERSITY,359,1,female
2016,midwest,Quarterfinal,1,3,Sedoctave,BALL STATE UNIVERSITY,330,0,coed
2016,midwest,Quarterfinal,1,1,Note to Self,BALL STATE UNIVERSITY,402,1,male
2016,midwest,Quarterfinal,1,2,Ladies' Choice,BALL STATE UNIVERSITY,397,1,female
2015,midwest,Quarterfinal,1,3,Sedoctave,BALL STATE UNIVERSITY,339,1,coed
2013,northeast,Quarterfinal,2,2,Manic Optimists,BATES COLLEGE,332,0,male
2017,southwest,Quarterfinal,1,1,VirtuOSO,BAYLOR UNIVERSITY,416,2,coed
2015,south,Semifinal,1,1,VirtuOSO,BAYLOR UNIVERSITY,397,0,coed
2015,south,Quarterfinal,3,1,VirtuOSO,BAYLOR UNIVERSITY,442,2,coed
2019,south,Semifinal,1,2,Prismatics,BELMONT UNIVERSITY,354,2,coed
2019,south,Quarterfinal,1,1,Prismatics,BELMONT UNIVERSITY,403,1,coed
2019,south,Quarterfinal,1,2,Beltones,BELMONT UNIVERSITY,388,0,coed
2018,south,Quarterfinal,2,2,Prismatics,BELMONT UNIVERSITY,420,2,coed
2017,south,Semifinal,1,1,Beltones,BELMONT UNIVERSITY,371,2,coed
2017,south,Quarterfinal,1,1,Beltones,BELMONT UNIVERSITY,400,1,coed
2015,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,392,1,coed
2015,south,Quarterfinal,3,2,Beltones,BELMONT UNIVERSITY,392,0,coed
2014,wildcard,Wildcard,1,1,Beltones,BELMONT UNIVERSITY,329,0,coed
2014,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,344,0,coed
2014,south,Quarterfinal,3,2,Beltones,BELMONT UNIVERSITY,341,0,coed
2013,wildcard,Wildcard,1,1,Beltones,BELMONT UNIVERSITY,381,0,coed
2013,south,Semifinal,1,2,Beltones,BELMONT UNIVERSITY,391,1,coed
2013,south,Quarterfinal,3,1,Beltones,BELMONT UNIVERSITY,395,1,coed
2019,northeast,Quarterfinal,2,2,CharlieChords,BERKLEE COLLEGE OF MUSIC,299,1,male
2018,final,Final,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,319,1,coed
2018,northeast,Semifinal,1,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,420,3,coed
2018,northeast,Quarterfinal,1,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,411,2,coed
2018,northeast,Quarterfinal,2,2,CharlieChords,BERKLEE COLLEGE OF MUSIC,334,1,male
2017,wildcard,Wildcard,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,344,0,coed
2017,northeast,Semifinal,1,2,Upper Structure,BERKLEE COLLEGE OF MUSIC,379,2,coed
2017,northeast,Quarterfinal,3,1,Upper Structure,BERKLEE COLLEGE OF MUSIC,371,2,coed
2016,northeast,Quarterfinal,1,3,CharlieChords,BERKLEE COLLEGE OF MUSIC,314,0,male
2015,northeast,Semifinal,1,3,CharlieChords,BERKLEE COLLEGE OF MUSIC,338,1,male
2015,northeast,Quarterfinal,1,1,CharlieChords,BERKLEE COLLEGE OF MUSIC,377,1,male
2014,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,414,2,coed
2014,northeast,Quarterfinal,3,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,431,3,coed
2014,final,Final,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,431,3,coed
2011,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,435,1,coed
2011,northeast,Quarterfinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,418,1,coed
2011,final,Final,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,403,0,coed
2010,northeast,Semifinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,426,1,coed
2010,northeast,Quarterfinal,1,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,450,3,coed
2010,final,Final,1,2,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,376,1,coed
2009,northeast,Semifinal,1,3,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,313,0,coed
2009,northeast,Quarterfinal,2,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,406,1,coed
2008,northeast,Quarterfinal,2,1,Pitch Slapped,BERKLEE COLLEGE OF MUSIC,412,NA,coed
2007,new england,Quarterfinal,1,3,Sharps,BOSTON COLLEGE,259,1,female
2016,northeast,Quarterfinal,2,1,Treblemakers,BOSTON UNIVERSITY,408,2,coed
2016,northeast,Quarterfinal,1,1,In Achord,BOSTON UNIVERSITY,352,1,coed
2016,northeast,Quarterfinal,2,3,Dear Abbeys,BOSTON UNIVERSITY,338,0,male
2016,northeast,Semifinal,1,1,BosTones,BOSTON UNIVERSITY,357,1,coed
2016,northeast,Quarterfinal,2,2,BosTones,BOSTON UNIVERSITY,374,1,coed
2014,northeast,Quarterfinal,3,3,In Achord,BOSTON UNIVERSITY,280,0,coed
2013,northeast,Quarterfinal,3,3,BosTones,BOSTON UNIVERSITY,270,0,coed
2011,northeast,Quarterfinal,1,3,BosTones,BOSTON UNIVERSITY,312,1,coed
2009,northeast,Quarterfinal,1,3,BosTones,BOSTON UNIVERSITY,319,1,coed
2008,northeast,Quarterfinal,2,2,Dynamics,BOSTON UNIVERSITY,350,NA,coed
2008,northeast,Quarterfinal,1,3,Barbershop Sweethearts,BOSTON UNIVERSITY,323,1,female
2007,new england,Quarterfinal,1,2,Terpsichore,BOSTON UNIVERSITY,347,1,female
2007,new england,Quarterfinal,2,1,In Achord,BOSTON UNIVERSITY,411,2,coed
2006,new england,Quarterfinal,4,2,Treblemakers,BOSTON UNIVERSITY,346,1,coed
2006,new england,Quarterfinal,2,3,Terpsichore,BOSTON UNIVERSITY,317,1,female
2006,new england,Semifinal,1,2,In Achord,BOSTON UNIVERSITY,340,1,coed
